,squareMeters,numberOfRooms,hasYard,hasPool,cityCode,cityPartRange,numPrevOwners,bathroom,price,price_per_sqft
101,55232,23,0,0,849,8,3,6,5524015.1,10001475.774913093
102,53735,49,0,1,2423,4,7,8,5384554.6,10020572.438820135
103,67753,72,1,1,31721,3,9,6,6789580.5,10021077.29547031
104,1450,59,0,0,2317,10,9,10,146181.8,10081503.44827586
105,82141,93,1,1,74213,3,7,4,8225970.9,10014451.857172422
106,17868,73,1,0,48674,4,9,2,1792308.3,10030827.736736065
107,71397,71,0,0,68199,3,10,2,7145471.5,10008083.672983458
108,32623,35,0,1,80204,10,6,8,3267852.3,10017019.587407658
109,23841,71,1,1,32106,3,7,1,2390804.0,10028119.62585462
110,16495,94,0,0,90448,3,10,7,1650711.1,10007342.22491664
111,39109,24,1,0,74477,4,3,9,3917652.2,10017265.079649186
112,65151,81,1,1,66191,7,9,4,6522781.1,10011789.688569631
113,61484,91,1,0,87015,8,8,3,6154833.3,10010463.372584738
114,57160,15,1,1,40786,8,8,2,5724102.2,10014174.597620714
115,13346,57,0,0,30010,6,8,8,1336414.1,10013592.836805036
116,27351,77,0,0,98465,4,1,0,2738851.7,10013716.86592812
117,18466,50,0,1,89670,5,2,5,1849227.0,10014226.145348208
118,45441,29,1,0,21239,3,5,6,4552319.4,10018088.070244934
119,55933,15,0,0,5800,9,8,6,5599976.1,10011935.887579784
120,81936,68,0,0,6143,3,1,0,8198107.1,10005500.756688146
121,18237,70,1,0,25093,9,6,9,1833338.1,10052849.152821187
122,35631,54,1,0,77355,10,6,10,3568002.8,10013759.928152451
123,99683,12,1,0,18300,5,8,6,9977000.2,10008727.867339466
124,47664,44,0,0,98008,6,3,6,4770073.0,10007706.025511917
125,62887,45,0,1,91125,4,3,4,6293710.3,10007967.147423156
126,18470,20,1,1,9406,3,1,6,1852115.0,10027693.557119653
127,36031,63,1,0,74698,9,8,4,3612495.1,10026075.046487747
128,22776,84,0,0,82401,9,9,7,2278599.3,10004387.513171759
129,14830,81,1,0,17641,1,10,9,1487488.2,10030264.329062711
130,43944,40,1,0,5581,10,5,6,4403326.2,10020312.670671765
131,73062,34,1,1,44770,4,8,0,7313447.6,10009919.794147436
132,84284,76,0,0,55723,5,1,6,8432554.8,10004929.52399032
133,9619,66,1,0,82543,9,5,10,969806.1,10082192.535606612
134,11410,96,0,1,85454,8,3,1,1150663.9,10084696.757230498
135,29855,63,0,0,78080,5,5,6,2987645.0,10007184.726176519
136,46716,94,0,0,25303,8,5,3,4674140.8,10005438.821816936
137,77046,69,1,0,43517,4,2,3,7714235.2,10012505.77577032
138,58855,1,0,0,20127,3,7,3,5892518.4,10011924.900178405
139,69165,66,1,0,51371,4,4,9,6926290.9,10014155.859177329
140,57915,25,0,1,87517,10,4,5,5800324.7,10015237.330570664
141,66279,47,1,0,21934,3,2,10,6631365.3,10005228.35287195
142,16068,21,1,0,21716,8,8,2,1611707.1,10030539.581777446
143,74325,50,1,1,91978,8,10,5,7443433.4,10014710.258997645
144,35742,46,1,1,84138,7,1,7,3581003.4,10019034.74903475
145,9026,51,1,0,85842,1,5,10,904797.0,10024340.793263905
146,16899,19,0,1,47328,2,4,7,1693690.0,10022427.362565832
147,99854,82,0,0,82741,3,8,7,9989598.9,10004205.039357461
148,33743,56,1,1,21945,10,8,6,3382812.6,10025227.750940936
149,72798,22,1,1,61212,9,3,7,7290431.7,10014604.384735845
150,86492,21,0,0,42450,3,7,0,8654049.2,10005606.530083707
151,38937,35,0,1,2867,2,6,1,3901433.3,10019861.057605876
152,24762,22,0,1,50367,10,10,1,2480900.9,10018984.330829497
153,91047,45,0,0,41065,8,2,1,9109264.9,10005013.784089535
154,55527,64,0,1,61931,4,2,9,5557814.5,10009210.834368866
155,70606,17,1,1,38,7,3,5,7070662.7,10014251.904937258
156,67327,47,0,0,26709,9,3,10,6741466.0,10013020.03653809
157,6125,90,0,1,95979,1,2,10,615143.2,10043154.285714284
158,71833,37,0,1,58147,2,5,6,7185318.3,10002809.711413974
159,20811,98,1,1,91543,1,4,3,2090690.5,10046083.801835569
160,7643,98,0,0,5989,2,3,7,765618.9,10017256.312966112
161,16669,95,1,1,15949,4,3,1,1676719.7,10058909.952606635
162,84006,73,1,1,54296,4,7,4,8409827.0,10010983.73925672
163,34059,49,0,0,63489,4,8,2,3412619.3,10019728.41246073
164,36131,95,0,0,72385,8,8,8,3620939.1,10021696.327253604
165,8201,18,1,1,38920,7,2,6,826967.7,10083742.226557737
166,38398,84,0,0,44513,6,8,8,3842545.4,10007149.851554768
167,38833,10,0,0,28075,4,3,8,3884619.4,10003397.625730693
168,41488,22,0,0,2019,9,1,3,4151539.3,10006602.632086387
169,5205,2,0,0,71289,7,3,0,521650.5,10022103.746397695
170,45066,28,0,0,85825,9,5,0,4508367.3,10003921.581680203
171,63875,53,1,1,54408,7,3,6,6394774.9,10011389.27592955
172,25052,88,0,0,1083,8,6,10,2515214.0,10039972.856458567
173,51457,64,0,1,68294,3,10,4,5150600.6,10009523.679965796
174,84396,64,0,0,88421,6,7,2,8449333.5,10011533.129532205
175,64920,98,0,1,1173,8,8,6,6501809.6,10015110.289587185
176,9166,4,1,0,26610,4,1,8,922847.5,10068159.502509274
177,85558,48,1,0,55318,2,9,0,8568781.7,10015172.982070642
178,87267,75,1,0,57714,6,10,4,8731940.9,10006005.592033643
179,96091,100,0,1,99874,10,3,6,9615021.9,10006162.8040087
180,38003,98,1,0,49191,8,10,2,3803545.8,10008540.904665422
181,83120,97,0,1,93953,6,6,1,8318749.5,10008120.187680462
182,20468,100,1,0,63924,6,4,0,2049846.3,10014883.232362712
183,75152,91,1,0,61836,3,3,2,7518709.8,10004670.268256335
184,32688,9,1,1,86166,6,5,7,3274057.3,10016083.272148801
185,45868,72,1,1,33082,5,7,10,4600708.4,10030322.66503881
186,73900,69,0,1,57473,4,3,4,7394635.8,10006273.071718538
187,16000,41,1,1,86898,9,4,6,1606948.7,10043429.375
188,1423,59,0,1,21687,8,4,8,149234.3,10487301.475755446
189,29951,37,1,1,56604,6,8,0,3002371.5,10024277.987379387
190,40231,84,0,1,64474,4,5,0,4030226.9,10017714.946185777
191,59517,38,1,0,93928,8,8,6,5958698.3,10011758.48917116
192,98969,26,1,0,36941,10,8,5,9902968.3,10006131.515929231
193,99177,49,0,0,5100,6,10,3,9919217.1,10001529.689343296
194,89157,46,0,0,34482,3,6,4,8920282.9,10005140.258196216
195,67429,60,0,1,89820,8,7,1,6749654.1,10010016.61006392
196,38431,57,1,0,69199,9,3,8,3848467.0,10013965.28843902
197,72495,76,1,1,8723,8,10,0,7259025.4,10013139.388923375
198,85362,77,1,0,40604,6,5,4,8541211.7,10005871.11361027
199,28597,93,0,0,16237,3,9,8,2863386.0,10012889.463929784
200,13687,36,1,1,2400,3,5,5,1376329.1,10055739.75305034
201,50479,3,0,1,39939,5,9,5,5057657.0,10019328.829810416
202,98121,38,0,1,20289,7,4,2,9817494.5,10005497.803732127
203,57736,16,0,0,83855,9,6,2,5775940.9,10004054.489400027
204,30356,40,0,0,13378,7,1,8,3039209.2,10011889.57701937
205,21141,38,0,1,65184,10,3,10,2126023.8,10056401.305520078
206,98122,34,0,0,80176,7,4,5,9813433.9,10001257.51615336
207,34746,12,1,0,57668,10,5,4,3478332.0,10010740.804696944
208,17297,43,1,1,99289,7,5,2,1738971.2,10053600.046250794
209,80324,47,1,1,20394,3,2,9,8039714.3,10009105.995717345
210,15815,13,1,1,2179,7,1,4,1585031.9,10022332.595637053
211,1066,5,1,1,65388,4,9,5,114605.7,10751003.752345216
212,79275,95,0,1,13000,5,9,3,7930383.5,10003637.33837906
213,20658,7,1,1,80216,4,10,10,2076936.7,10053909.865427438
214,8687,88,0,1,2052,3,6,3,877525.3,10101592.034073904
215,69638,42,1,1,89878,1,2,6,6977654.1,10019894.454177316
216,94036,18,0,0,79418,10,9,10,9406163.1,10002725.658258539
217,60889,72,0,0,55928,6,8,7,6091341.8,10004010.248156482
218,11680,21,0,0,5324,10,1,6,1169431.2,10012253.424657535
219,11458,96,1,1,95286,9,5,6,1154040.0,10071914.8193402
220,20397,67,0,0,29406,8,7,3,2042985.7,10016108.741481591
221,83206,34,1,0,27565,9,9,9,8326302.9,10006853.952839939
222,8951,11,1,0,32412,1,10,1,904889.7,10109369.902804157
223,22854,41,1,0,74420,4,7,0,2292467.1,10030922.814386979
224,46042,52,0,0,45861,9,8,5,4605791.5,10003456.62655836
225,93506,20,1,0,7068,8,9,8,9356982.7,10006825.979081554
226,58748,76,0,0,20761,2,5,2,5875981.0,10002010.281201063
227,715,71,0,0,33439,7,3,8,74252.0,10384895.104895106
228,55327,22,1,0,76622,1,2,8,5540589.3,10014259.403184703
229,63631,84,1,0,31269,6,10,4,6369055.0,10009358.645943016
230,77915,99,0,0,63942,5,10,4,7793915.8,10003100.558300713
231,91804,5,0,0,87339,3,9,8,9182083.9,10001834.233802449
232,57295,95,0,0,32081,2,2,7,5731510.4,10003508.857666463
233,61057,65,1,0,17051,9,8,6,6114671.8,10014694.138264244
234,91626,83,1,0,59173,4,5,8,9169068.1,10007059.24082684
235,29356,96,1,1,4864,4,9,3,2948071.0,10042481.945769178
236,27134,62,1,0,1498,7,7,3,2715604.3,10008123.756173067
237,1682,65,1,0,7602,2,3,4,174918.7,10399447.086801426
238,98868,41,0,1,85917,7,3,3,9892300.1,10005563.073997654
239,23898,62,1,0,73176,9,9,1,2399286.6,10039696.208887773
240,83110,43,1,0,55046,7,10,7,8321631.1,10012791.601491999
241,71154,67,0,1,8762,2,6,8,7122699.1,10010258.172414763
242,90841,48,1,0,25300,6,5,9,9086177.3,10002286.742770337
243,68416,87,1,0,60979,8,7,6,6846709.0,10007467.551449953
244,47585,95,0,0,81532,5,1,0,4759724.3,10002572.869601766
245,28452,79,1,0,79918,4,10,2,2850377.6,10018197.666244904
246,15630,78,1,0,98750,7,3,0,1565985.6,10019101.727447217
247,65900,36,1,1,27819,1,5,1,6605894.7,10024119.42336874
248,21600,94,1,0,85215,10,8,3,2166421.0,10029726.851851853
249,74704,31,0,0,93675,1,9,9,7472587.2,10002927.821803384
250,87291,78,1,1,5950,3,3,2,8739254.7,10011633.15805753
251,96687,65,0,1,70871,4,4,6,9673884.2,10005361.837682417
252,60567,65,1,1,39919,7,6,0,6071330.9,10024156.553898988
253,4872,41,0,0,79028,9,6,6,489455.0,10046284.893267652
254,9157,48,1,0,6500,4,10,8,922102.9,10069923.5557497
255,65217,26,1,1,96357,6,8,10,6531999.9,10015793.274759648
256,87346,56,1,1,34773,9,9,4,8743241.0,10009892.839969775
257,47701,26,1,0,73572,3,5,3,4773352.1,10006817.676778262
258,14766,50,0,1,36865,8,1,4,1488265.1,10078999.72910741
259,94841,19,1,1,11526,3,5,6,9498026.8,10014684.366465982
260,59318,92,0,0,68354,9,8,5,5939275.2,10012601.90835834
261,1796,28,0,0,66676,1,1,4,180265.7,10037065.70155902
262,96526,36,1,1,61875,5,2,0,9661068.0,10008772.765886912
263,62876,36,0,0,90089,4,8,4,6288117.6,10000823.20758318
264,59558,43,1,1,79779,4,3,5,5967916.2,10020343.53067598
265,97008,89,0,1,11466,9,5,0,9703551.4,10002836.260926934
266,66746,6,1,0,22139,7,3,3,6678869.7,10006396.937644204
267,25776,36,0,0,4777,5,9,10,2582235.2,10017982.619491
268,96195,97,0,1,91809,7,4,3,9626665.8,10007449.243723687
269,4805,47,1,1,48026,5,5,0,486824.5,10131623.309053069
270,23045,21,1,0,72570,5,5,0,2312202.0,10033421.566500325
271,95441,70,0,1,3574,6,10,3,9554998.7,10011419.306168208
272,28381,34,1,0,44973,6,2,2,2847241.9,10032211.33857158
273,15731,34,1,1,93825,5,2,5,1582940.3,10062553.556671541
274,18966,58,1,0,4414,10,4,0,1902151.9,10029272.90941685
275,24393,46,1,1,18507,4,8,2,2449464.9,10041671.381133933
276,53339,67,0,0,6144,4,1,3,5335546.3,10003086.484561015
277,44053,17,1,0,70068,9,3,3,4413295.4,10018149.501736546
278,70898,98,0,0,51635,6,1,3,7091863.4,10002910.378289938
279,84483,41,1,0,28464,10,3,6,8452134.9,10004539.256418452
280,35716,24,1,0,77207,4,2,10,3574932.3,10009329.992160376
281,64693,64,0,0,90290,10,9,7,6471378.3,10003212.557772866
282,32593,40,1,0,89328,2,9,2,3265750.6,10019791.366244286
283,1607,63,1,1,32832,10,8,7,173112.0,10772370.877411325
284,39484,74,0,1,6688,6,4,9,3954971.1,10016642.437443014
285,32458,28,1,1,47125,1,3,7,3253846.5,10024790.498490356
286,72243,64,0,1,34837,2,1,3,7229477.4,10007166.645903409
287,20624,44,1,0,50284,10,2,4,2070369.6,10038642.358417379
288,7443,38,1,0,4785,8,8,1,748338.5,10054259.035335215
289,78382,41,0,0,58781,7,1,6,7840062.0,10002375.545405833
290,70614,15,1,1,61317,10,5,2,7075926.0,10020570.991588071
291,32235,59,1,0,76786,2,6,10,3225143.6,10005098.805646038
292,2523,12,1,1,75753,3,10,1,260710.5,10333353.151010701
293,87864,55,0,0,48421,8,4,9,8790481.9,10004645.70244924
294,18316,97,0,0,68804,10,5,9,1832673.1,10005858.811967678
295,94471,30,1,1,55210,6,1,3,9454072.1,10007380.14840533
296,60704,96,1,1,18856,1,10,2,6080655.4,10016894.109119663
297,54020,4,1,0,58230,1,3,4,5406334.3,10008023.509811182
298,59612,37,1,0,69063,10,7,2,5967739.7,10010970.442192847
299,56467,63,0,0,28576,3,2,0,5649094.0,10004239.644394072
300,65625,55,0,1,89469,2,10,10,6567597.5,10007767.61904762
301,41570,76,0,1,21758,10,4,10,4167932.4,10026298.773153717
302,44862,99,0,1,58122,7,5,3,4493882.2,10017124.069368284
303,47212,37,1,1,4826,7,4,9,4734236.1,10027611.835973904
304,2840,17,1,0,94918,4,4,10,288797.4,10168922.535211269
305,40465,85,0,0,6023,4,9,0,4052600.4,10015075.74447053
306,17191,80,1,1,49538,2,5,9,1728829.5,10056596.474899657
307,56480,85,1,0,21192,8,3,1,5653048.6,10008938.73937677
308,70503,78,0,0,72210,2,6,4,7051701.1,10001987.291320937
309,4885,100,0,0,79559,7,8,6,493693.3,10106311.156601842
310,58263,65,1,1,39046,9,10,3,5840294.6,10024019.703757102
311,47647,52,0,1,24285,10,2,10,4768169.2,10007281.046025982
312,57916,51,0,0,8801,8,1,1,5792783.8,10002043.99475102
313,6396,71,0,0,28917,6,6,9,643620.5,10062859.599749845
314,41972,18,0,1,40098,7,7,0,4206464.5,10022073.048699133
315,94311,11,1,0,89062,8,1,7,9439790.7,10009214.93781213
316,10714,41,0,1,23803,5,6,6,1075982.6,10042772.073921973
317,11259,26,0,1,34780,10,4,7,1134964.0,10080504.485300649
318,3534,16,1,1,39998,4,1,0,359850.3,10182521.222410865
319,52680,10,0,1,10177,6,4,0,5274696.1,10012710.895975702
320,62711,60,0,0,42211,8,10,6,6272944.7,10002941.589194879
321,19268,12,1,0,38471,3,5,3,1938014.0,10058200.124558855
322,36119,39,1,0,16503,7,4,3,3620813.9,10024679.2546859
323,28394,53,0,0,81916,8,8,2,2840816.3,10004988.02563922
324,20392,33,1,0,53104,10,5,2,2046763.7,10037091.506473126
325,7259,25,1,1,860,1,4,5,735079.4,10126455.43463287
326,28183,81,0,0,44087,5,2,10,2821593.3,10011685.41319235
327,92188,14,0,1,5286,10,2,0,9227140.6,10009047.381437931
328,29815,28,0,0,46462,9,7,0,2989048.5,10025317.793057187
329,50219,96,1,0,23667,9,6,0,5025975.3,10008115.056054482
330,1722,56,0,1,27948,8,8,2,182838.2,10617781.649245065
331,70399,14,0,1,82950,6,5,4,7048784.3,10012619.92357846
332,28790,52,1,0,13856,7,6,4,2883447.1,10015446.682875998
333,92962,7,1,1,32437,5,1,3,9304587.0,10009021.965964587
334,34245,2,1,0,50891,4,4,5,3430728.0,10018186.596583443
335,54677,64,1,1,77132,2,10,2,5477618.6,10018140.35151892
336,74227,84,1,0,98736,7,7,5,7427853.0,10006942.21779137
337,94939,46,1,1,55155,9,10,7,9503765.9,10010391.830543824
338,48884,58,1,0,15276,1,7,9,4895277.0,10014067.997708863
339,10638,39,0,0,64229,5,4,10,1066200.6,10022566.271855613
340,90315,61,1,1,21653,7,7,7,9044477.4,10014369.041687427
341,17633,28,0,0,83228,6,2,2,1767487.3,10023746.951738218
342,63242,45,0,1,63066,4,10,1,6327623.7,10005413.649157206
343,79344,46,1,1,19012,2,3,7,7945562.1,10014067.98245614
344,72093,48,0,1,83520,8,1,9,7223902.5,10020255.087179061
345,13378,59,1,0,2735,1,1,7,1342476.1,10034953.655254897
346,47019,35,0,1,60947,8,4,6,4706162.0,10009064.420766074
347,34666,75,1,1,28826,5,2,6,3477313.2,10030904.055847228
348,93509,28,1,1,48468,6,2,6,9361261.2,10011080.430760674
349,13583,42,1,0,42009,7,2,10,1364589.5,10046304.203784142
350,19649,11,0,1,87255,4,4,2,1970018.9,10026051.707466029
351,141,16,0,1,42248,5,4,4,22670.7,16078510.638297873
352,22821,64,1,1,66304,9,8,2,2289134.3,10030823.80263792
353,533,76,1,1,94923,6,8,9,65465.1,12282382.739212008
354,67020,71,1,1,64361,4,7,1,6711051.5,10013505.669949269
355,49094,30,1,0,90656,9,2,8,4916616.1,10014698.53749949
356,25269,88,0,0,86720,6,7,1,2530193.9,10013035.33974435
357,71989,41,0,0,50519,2,3,4,7204744.3,10008118.323632777
358,73180,1,1,1,38386,9,7,10,7325717.1,10010545.367586773
359,18926,58,1,1,32618,6,4,8,1908217.8,10082520.342386136
360,6492,76,0,0,81044,10,3,9,652565.8,10051845.348120766
361,98045,4,1,1,78526,4,5,0,9814193.2,10009886.480697637
362,51589,83,0,1,55528,6,10,5,5167451.8,10016576.789625695
363,24390,75,1,0,70527,10,9,1,2446317.2,10030000.820008202
364,75890,10,0,1,33129,9,5,8,7597786.1,10011577.414679142
365,29220,9,0,1,33789,7,6,0,2929116.4,10024354.551676933
366,72433,57,1,1,69864,7,7,0,7250644.1,10010139.163088648
367,57467,98,0,0,24393,7,3,2,5749361.3,10004631.005620617
368,81482,76,1,0,56103,1,7,6,8153070.7,10005977.639233205
369,61346,69,0,1,63238,7,10,10,6141452.9,10011170.89948815
370,80915,23,1,1,46095,9,6,0,8104297.2,10015815.608972378
371,65479,74,0,1,99953,10,5,10,6552454.0,10006954.901571495
372,48302,22,1,0,82376,2,9,1,4833604.7,10007048.77644818
373,76690,21,1,1,91395,1,1,8,7682267.0,10017299.517538141
374,14447,39,0,1,93847,6,8,6,1448447.2,10025937.564892365
375,24213,31,1,1,51767,1,7,5,2431969.4,10044064.758600751
376,1843,30,1,1,3,4,7,5,189919.7,10304921.323928379
377,78183,65,1,1,3648,7,9,4,7829898.7,10014835.322256757
378,99323,35,0,1,69665,6,7,3,9939399.8,10007148.193268428
379,67491,21,0,0,5308,6,7,0,6750826.7,10002558.4151961
380,2588,82,1,0,25395,1,5,8,267798.6,10347704.791344667
381,76635,6,1,1,73981,2,5,1,7669791.9,10008210.217263652
382,45070,100,0,0,21335,9,9,0,4510977.7,10008825.604615044
383,62381,58,1,0,22862,1,4,6,6243323.3,10008373.22261586
384,98543,2,1,0,88249,1,3,7,9860222.2,10006009.762235774
385,13972,39,0,0,91674,2,2,2,1397748.9,10003928.57142857
386,71567,70,0,1,64245,10,8,4,7166917.2,10014276.412312938
387,36804,99,0,0,76338,2,8,6,3681839.6,10003911.531355288
388,21297,71,1,1,75154,2,3,4,2136801.5,10033345.07207588
389,9950,1,1,0,79019,5,10,4,1000736.2,10057650.251256282
390,3661,50,1,1,1138,3,8,7,372556.7,10176364.38131658
391,88102,51,1,0,42082,8,3,9,8821018.6,10012279.630428366
392,72596,91,0,0,32957,7,6,0,7262781.5,10004382.47286352
393,70763,4,1,0,18220,10,4,9,7082373.5,10008582.875231406
394,12002,58,0,0,2764,8,8,1,1203664.5,10028866.022329612
395,26146,34,0,1,431,7,9,7,2627462.1,10049193.375659756
396,13716,62,0,1,61202,6,8,10,1382883.0,10082261.592300963
397,23281,32,1,1,87667,9,10,3,2339782.0,10050178.256947726
398,3824,45,1,1,11597,5,6,0,386574.9,10109176.255230125
399,56086,3,1,0,52007,6,2,1,5615576.1,10012438.219876617
400,19014,67,1,0,82387,8,2,6,1912984.9,10060928.263384875
401,80808,59,1,0,18733,7,5,5,8085990.4,10006423.126423126
402,83602,5,0,1,48528,9,7,5,8365162.1,10005935.38432095
403,99767,27,0,1,46530,2,8,2,9985836.8,10009158.13846262
404,60675,32,1,0,97066,9,7,6,6075733.2,10013569.34487021
405,20210,2,1,0,77066,1,8,4,2029228.7,10040715.982187036
406,28694,82,0,0,44298,2,3,3,2870499.1,10003830.417508887
407,45521,53,0,0,26627,9,9,7,4554205.1,10004624.45904088
408,55727,46,0,0,94339,5,5,2,5574845.6,10003850.198288083
